Date,BTC-USD,GLD,SPY,TLT
2014-10-15,0.25,0.25,0.25,0.25
2014-10-15,0.24684002432854024,0.25152615742932044,0.24898014563403034,0.25265367260810895
2014-10-16,0.24127625836957264,0.2543265215247252,0.25105120987064616,0.253346010235056
2014-10-17,0.24159960841949704,0.25338069616019626,0.2535440282835594,0.2514756671367474
2014-10-20,0.23994301672335927,0.25395544378182644,0.2548456666293015,0.25125587286551276
2014-10-21,0.2408307989718574,0.252975390774054,0.2583682374622668,0.24782557279182185
2014-10-22,0.23997634489008557,0.2528248805321548,0.25783679578790064,0.249361978789859
2014-10-23,0.2278316374074806,0.25542464415394234,0.26532817652172497,0.251415541916852
2014-10-24,0.2273598506715557,0.25458098846429034,0.26686204846040823,0.25119711240374565
2014-10-27,0.22482502202338503,0.2549646368518957,0.2675530016648357,0.2526573394598835
2014-10-28,0.22673787950664076,0.2539129367580159,0.26939696518693196,0.2499522185484112
2014-10-29,0.21619705219716556,0.25481858506473953,0.2738963716871435,0.25508799105095126
2014-10-30,0.22116126434349662,0.25076768797879545,0.2741530227680596,0.25391802490964827
2014-10-31,0.21830798330963538,0.247083751591184,0.27940216888958225,0.25520609620959833
2014-11-03,0.21295729453465437,0.2479535758996531,0.2818173240286796,0.2572718055370129
2014-11-04,0.21445665543647854,0.2476437820940694,0.28031202148922224,0.25758754098022985
2014-11-05,0.2198335597590402,0.24180300786594452,0.2815886268551506,0.25677480551986465
2014-11-06,0.2247622224626168,0.24057758476609167,0.28105053692678983,0.25360965584450185
2014-11-07,0.21911893126858759,0.24593060687541232,0.2798125533451957,0.25513790851080453
2014-11-10,0.23237374737543154,0.23846206719708077,0.2784236140496215,0.2507405713778663
2014-11-11,0.23186072373447333,0.24080941505405404,0.2774985609683786,0.2498313002430941
2014-11-12,0.25,0.25,0.25,0.25
2014-11-13,0.24843114084416007,0.25048648030962595,0.25038728160424617,0.25069509724196776
2014-11-14,0.23603457895906593,0.2583509066447218,0.2520693483355647,0.2535451660606474
2014-11-17,0.2315554110559547,0.25939478863802834,0.25418329561246866,0.2548665046935483
2014-11-18,0.22481056085658685,0.2624421174911783,0.2564115163348982,0.2563358053173367
2014-11-19,0.22845543790664052,0.2598188557276073,0.2565135838983822,0.25521212246736996
2014-11-20,0.21647308008732938,0.2650459926936757,0.25945356404383546,0.2590273631751594
2014-11-21,0.21222465699491413,0.26629531368759013,0.2608666921898363,0.2606133371276594
2014-11-24,0.22395436656498166,0.2615930248820257,0.2576041965814752,0.25684841197151753
2014-11-25,0.22266676408786126,0.2617792429169792,0.25699880347094445,0.2585551895242152
2014-11-26,0.21921565388700176,0.26214948831466667,0.25851353912201064,0.260121318676321
2014-11-28,0.22414598603990263,0.2553129886534322,0.2581674358073742,0.26237358949929096
2014-12-01,0.22394567208747262,0.2631095533588601,0.25425501737588,0.25868975717778725
2014-12-02,0.22582811912288056,0.26060495998064814,0.2566472063156337,0.25691971458083745
2014-12-03,0.22186198015491163,0.263046381706272,0.2574035806094588,0.2576880575293575
2014-12-04,0.2191620937822121,0.2626520439008992,0.2577321442772496,0.260453718039639
2014-12-05,0.2234531965408662,0.25938391826050833,0.25819266301852484,0.25897022218010046
2014-12-08,0.21539875896547417,0.26363488864262125,0.2576429037464349,0.2633234486454696
2014-12-09,0.20939360418718805,0.2688616659567223,0.25727247766430733,0.26447225219178233
2014-12-10,0.20718234894239485,0.2700299216724841,0.25471069022501386,0.2680770391601073
2014-12-11,0.0,0.0,0.5,0.5
